Id,Property building category,Property building type,Title,Built up price psf,Size built up,Valuation price,YEAR,QUARTER,NAME,Year completion,Property building category,Property building type
474464,HIGHRISE,CONDO,RESIDENTIAL,1112,764,850000,2016,20163,HARBOURVIEW,1994,HIGHRISE,CONDO
480855,HIGHRISE,CONDO,RESIDENTIAL,1185,743,880000,2016,20164,HARBOURVIEW,1994,HIGHRISE,CONDO
481989,HIGHRISE,CONDO,RESIDENTIAL,1158,743,860000,2016,20164,HARBOURVIEW,1994,HIGHRISE,CONDO
485931,HIGHRISE,CONDO,RESIDENTIAL,1187,3455,4100000,2016,20162,HARBOURVIEW,1994,HIGHRISE,CONDO
495644,HIGHRISE,CONDO,RESIDENTIAL,1066,797,850000,2016,20162,HARBOURVIEW,1994,HIGHRISE,CONDO
505433,HIGHRISE,CONDO,RESIDENTIAL,1026,1389,1425000,2016,20161,HARBOURVIEW,1994,HIGHRISE,CONDO
505495,HIGHRISE,CONDO,RESIDENTIAL,1182,1776,2100000,2016,20161,HARBOURVIEW,1994,HIGHRISE,CONDO
506413,HIGHRISE,CONDO,RESIDENTIAL,1099,764,840000,2016,20162,HARBOURVIEW,1994,HIGHRISE,CONDO
522753,HIGHRISE,CONDO,RESIDENTIAL,985,1421,1400000,2016,20163,HARBOURVIEW,1994,HIGHRISE,CONDO
524117,HIGHRISE,CONDO,RESIDENTIAL,916,764,700000,2016,20163,HARBOURVIEW,1994,HIGHRISE,CONDO
560730,HIGHRISE,CONDO,RESIDENTIAL,1066,1313,1400000,2017,20172,HARBOURVIEW,1994,HIGHRISE,CONDO
654191,HIGHRISE,CONDO,RESIDENTIAL,1243,764,950000,2018,20181,HARBOURVIEW,1994,HIGHRISE,CONDO
654258,HIGHRISE,CONDO,RESIDENTIAL,1413,764,1080000,2018,20181,HARBOURVIEW,1994,HIGHRISE,CONDO
711318,HIGHRISE,CONDO,RESIDENTIAL,1008,1389,1400000,2018,20181,HARBOURVIEW,1994,HIGHRISE,CONDO
716288,HIGHRISE,CONDO,RESIDENTIAL,1311,1755,2300000,2018,20182,HARBOURVIEW,1994,HIGHRISE,CONDO
716384,HIGHRISE,CONDO,RESIDENTIAL,1267,1421,1800000,2018,20182,HARBOURVIEW,1994,HIGHRISE,CONDO
716453,HIGHRISE,CONDO,RESIDENTIAL,1185,743,880000,2018,20182,HARBOURVIEW,1994,HIGHRISE,CONDO
756278,HIGHRISE,CONDO,RESIDENTIAL,1306,1313,1715000,2018,20182,HARBOURVIEW,1994,HIGHRISE,CONDO
757293,HIGHRISE,CONDO,RESIDENTIAL,1279,743,950000,2018,20183,HARBOURVIEW,1994,HIGHRISE,CONDO
